Sl.No.,HOLIDAYS,DATE,KARNATAKA,TAMIL NADU & KERALA,ANDHRA & TELANGANA,NORTHERN REGION,WESTERN REGION,EASTERN REGIONN
1,Makara Sankranti,14-01-2021,H,H,H,NA,NA,NA
2,Republic Day,26-01-2021,H,H,H,H,H,H
3,Good Friday,2/4/2021,H,NA,NA,H,H,H
4,Ugadi,13-04-2021,H,NA,NA,NA,NA,NA
5,May Day,1/5/2021,H,H,H,H,H,H
6,Independence day,15-08-2021,H,H,H,H,H,H
7,Ganesh Chaturthi,10/9/2021,H,H,H,H,H,H
8,Gandhi Jayanthi,2/10/2021,H,H,H,H,H,H
9,Dussehra/Vijayadashmi,15-10-2021,H,H,H,H,H,H
10,Kannada Rajyothsava,1/11/2021,H,NA,NA,NA,NA,NA
11,Deepavali / Diwali,5/11/2021,H,H,H,H,H,H
12,Christmas,25-12-2021,H,H,H,H,H,H
